,GIFT_BASKET
0,70598.5
1,70618.5
2,70617.0
3,70615.5
4,70629.5
5,70637.5
6,70637.5
7,70638.5
8,70645.0
9,70652.0
10,70664.5
11,70653.0
12,70654.5
13,70634.0
14,70626.0
15,70631.5
16,70641.5
17,70647.5
18,70633.5
19,70638.5
20,70627.5
21,70629.5
22,70630.5
23,70632.0
24,70630.5
25,70630.5
26,70609.5
27,70626.5
28,70637.5
29,70616.5
30,70614.5
31,70610.5
32,70610.5
33,70600.5
34,70596.5
35,70601.5
36,70612.5
37,70610.5
38,70610.5
39,70604.5
40,70594.5
41,70597.5
42,70594.5
43,70597.5
44,70591.5
45,70595.5
46,70609.5
47,70618.5
48,70620.5
49,70625.5
50,70611.5
51,70616.0
52,70621.0
53,70614.5
54,70619.5
55,70623.5
56,70634.0
57,70642.0
58,70632.5
59,70630.0
60,70624.0
61,70628.5
62,70627.5
63,70640.5
64,70654.5
65,70645.0
66,70647.5
67,70647.5
68,70646.5
69,70642.0
70,70646.5
71,70644.5
72,70626.5
73,70628.5
74,70624.5
75,70614.5
76,70627.5
77,70628.5
78,70618.5
79,70605.0
80,70592.5
81,70595.5
82,70590.5
83,70579.5
84,70593.5
85,70596.5
86,70595.5
87,70607.5
88,70598.5
89,70607.5
90,70612.5
91,70607.5
92,70606.5
93,70610.5
94,70598.5
95,70581.5
96,70587.5
97,70578.5
98,70566.5
99,70581.0
100,70583.5
101,70592.5
102,70605.5
103,70597.0
104,70595.5
105,70592.5
106,70585.5
107,70580.0
108,70583.5
109,70586.0
110,70581.0
111,70582.5
112,70583.0
113,70580.5
114,70580.5
115,70564.5
116,70575.0
117,70584.5
118,70589.5
119,70579.5
120,70583.5
121,70564.5
122,70558.5
123,70545.0
124,70548.5
125,70554.5
126,70557.5
127,70556.5
128,70554.0
129,70566.5
130,70561.5
131,70570.5
132,70580.5
133,70580.5
134,70579.5
135,70581.5
136,70584.5
137,70582.5
138,70588.5
139,70581.5
140,70583.5
141,70586.5
142,70595.0
143,70611.5
144,70605.5
145,70598.5
146,70601.0
147,70597.5
148,70600.5
149,70605.5
150,70598.5
151,70602.5
152,70607.0
153,70622.0
154,70630.5
155,70637.5
156,70631.5
157,70642.5
158,70628.5
159,70621.5
160,70624.5
161,70624.5
162,70625.5
163,70635.0
164,70626.5
165,70627.5
166,70617.0
167,70600.5
168,70593.5
169,70580.5
170,70588.5
171,70589.5
172,70579.5
173,70587.5
174,70590.5
175,70591.5
176,70578.0
177,70592.5
178,70595.5
179,70597.5
180,70606.5
181,70603.5
182,70620.5
183,70619.0
184,70624.5
185,70628.5
186,70640.0
187,70631.5
188,70627.5
189,70633.0
190,70641.5
191,70640.5
192,70641.5
193,70639.5
194,70647.5
195,70643.5
196,70640.5
197,70631.0
198,70634.5
199,70630.5
200,70632.5
201,70635.5
202,70632.5
203,70641.5
204,70626.5
205,70608.5
206,70597.5
207,70603.5
208,70603.5
209,70597.5
210,70595.5
211,70580.5
212,70577.5
213,70578.5
214,70571.5
215,70576.5
216,70559.5
217,70567.5
218,70558.5
219,70547.5
220,70543.5
221,70550.5
222,70554.5
223,70554.5
224,70549.5
225,70550.5
226,70534.5
227,70526.5
