,STRAWBERRIES
0,4036.5
1,4036.5
2,4037.0
3,4037.0
4,4037.0
5,4037.5
6,4037.5
7,4037.5
8,4037.5
9,4037.5
10,4037.0
11,4036.5
12,4036.5
13,4036.0
14,4036.0
15,4036.0
16,4036.5
17,4036.5
18,4036.5
19,4037.0
20,4037.0
21,4037.0
22,4037.5
23,4037.5
24,4037.0
25,4037.0
26,4037.5
27,4037.5
28,4037.5
29,4037.0
30,4036.5
31,4036.5
32,4037.0
33,4036.5
34,4036.5
35,4036.5
36,4036.5
37,4036.0
38,4037.0
39,4037.5
40,4037.5
41,4037.0
42,4037.5
43,4037.0
44,4037.0
45,4036.5
46,4036.5
47,4037.0
48,4037.5
49,4037.5
50,4037.5
51,4037.0
52,4036.5
53,4037.0
54,4036.5
55,4036.5
56,4036.5
57,4037.5
58,4037.0
59,4036.5
60,4036.5
61,4036.5
62,4036.5
63,4036.5
64,4037.0
65,4037.0
66,4036.5
67,4036.5
68,4036.5
69,4036.5
70,4036.5
71,4036.5
72,4036.5
73,4036.5
74,4036.5
75,4036.0
76,4036.0
77,4035.5
78,4035.0
79,4034.5
80,4033.5
81,4034.0
82,4033.5
83,4033.5
84,4034.5
85,4034.5
86,4035.5
87,4035.5
88,4035.5
89,4035.5
90,4035.5
91,4035.5
92,4035.5
93,4035.5
94,4035.5
95,4034.5
96,4034.5
97,4034.5
98,4034.0
99,4034.0
100,4034.0
101,4034.5
102,4034.5
103,4034.5
104,4034.0
105,4034.0
106,4033.5
107,4033.5
108,4034.0
109,4034.5
110,4034.0
111,4033.5
112,4034.0
113,4033.5
114,4034.0
115,4033.5
116,4033.5
117,4034.0
118,4034.0
119,4033.5
120,4033.5
121,4033.0
122,4033.5
123,4033.0
124,4033.5
125,4033.5
126,4034.0
127,4033.5
128,4033.5
129,4033.5
130,4033.5
131,4033.0
132,4032.5
133,4032.5
134,4032.5
135,4032.5
136,4032.5
137,4032.5
138,4032.5
139,4032.5
140,4032.5
141,4032.5
142,4032.5
143,4032.5
144,4033.0
145,4032.5
146,4033.0
147,4033.5
148,4033.5
149,4033.5
150,4033.5
151,4034.0
152,4034.5
153,4034.5
154,4035.0
155,4035.0
156,4034.5
157,4034.5
158,4034.5
159,4033.5
160,4034.0
161,4033.5
162,4033.5
163,4034.0
164,4034.0
165,4033.5
166,4032.5
167,4032.0
168,4032.5
169,4032.5
170,4032.5
171,4032.5
172,4032.5
173,4032.5
174,4032.5
175,4032.5
176,4032.5
177,4033.0
178,4032.5
179,4033.0
180,4032.5
181,4032.5
182,4033.0
183,4033.0
184,4033.0
185,4033.5
186,4033.5
187,4033.0
188,4032.5
189,4032.0
190,4032.0
191,4031.5
192,4031.5
193,4032.0
194,4031.5
195,4031.5
196,4031.5
197,4031.5
198,4032.0
199,4032.5
200,4032.5
201,4033.0
202,4033.0
203,4033.0
204,4033.0
