,AMETHYSTS
0,10000.0
1,10002.5
2,10000.0
3,10000.0
4,9996.5
5,10000.0
6,10000.0
7,10001.0
8,10000.0
9,10000.0
10,10003.0
11,10001.0
12,10001.0
13,10002.5
14,9996.5
15,10000.0
16,10000.0
17,9998.5
18,10001.5
19,10000.0
20,10000.0
21,10000.0
22,10003.0
23,10000.0
24,10000.0
25,9996.5
26,10000.0
27,9999.0
28,10000.0
29,10000.0
30,10003.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10001.5
37,10000.0
38,9998.5
39,10000.0
40,10001.5
41,10001.5
42,10001.0
43,10000.0
44,10001.0
45,10001.0
46,10000.0
47,9999.0
48,9999.0
49,10003.0
50,9999.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10001.0
56,10002.0
57,9998.5
58,10000.0
59,10001.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,10002.0
66,10000.0
67,10001.0
68,10000.0
69,9998.5
70,10000.0
71,10000.0
72,10000.0
73,10000.0
74,9998.5
75,10003.0
76,10000.0
77,9999.0
78,10000.0
79,10000.0
80,10001.0
81,10001.0
82,9998.5
83,10000.0
84,10001.5
85,9997.0
86,9999.0
87,9999.0
88,10003.5
89,10000.0
90,10000.0
91,10000.0
92,9998.5
93,10002.0
94,10000.0
95,9999.0
96,10002.0
97,10000.0
98,10000.0
99,10000.0
100,10000.0
101,10002.5
102,10000.0
103,10000.0
104,9999.0
105,10000.0
106,9999.0
107,10000.0
108,10000.0
109,10000.0
110,10000.0
111,10000.0
112,10000.0
113,10000.0
114,10000.0
115,10003.5
116,9998.5
117,10000.0
118,10000.0
119,10000.0
120,10000.0
121,10000.0
122,10000.0
123,10001.5
124,10000.0
125,9999.0
126,10000.0
127,10000.0
128,9996.5
129,9996.5
130,9997.0
131,10002.0
132,9999.0
133,9999.0
134,10001.0
135,10001.5
136,10002.5
137,10000.0
138,10000.0
139,10000.0
140,10000.0
141,10000.0
142,10000.0
143,10000.0
144,9998.5
145,9999.0
146,10000.0
147,10000.0
148,9999.0
149,10000.0
150,10000.0
151,10000.0
152,10001.5
153,10001.5
154,9998.5
155,9999.0
156,10001.5
157,10000.0
158,9999.0
159,10003.0
160,10001.0
161,10000.0
