,AMETHYSTS
0,10003.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,9998.5
6,10002.5
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,9996.5
13,10003.0
14,10000.0
15,10000.0
16,10000.0
17,9999.0
18,10003.0
19,10000.0
20,9997.0
21,9999.0
22,10001.0
23,10001.0
24,10000.0
25,10000.0
26,10000.0
27,10001.5
28,10000.0
29,10000.0
30,10001.5
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,9996.5
37,10003.0
38,9999.0
39,10001.0
40,10000.0
41,10000.0
42,9999.0
43,9996.5
44,10000.0
45,9999.0
46,9999.0
47,10000.0
48,10001.0
49,9998.5
50,10001.0
51,10000.0
52,10001.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10001.5
58,10000.0
59,10000.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,9997.0
66,10000.0
67,9998.5
68,10000.0
69,9999.0
70,10001.5
71,10000.0
72,10001.0
73,10003.0
74,10000.0
75,9998.5
76,10000.0
77,10000.0
78,10001.0
79,10000.0
80,10000.0
81,10000.0
82,10000.0
83,10000.0
84,10000.0
85,10001.0
86,10000.0
87,10001.5
88,9996.5
89,10001.5
90,10000.0
91,10001.0
92,10001.5
93,10000.0
94,10001.0
95,10000.0
96,10000.0
97,9998.5
98,10000.0
99,10000.0
100,10000.0
101,9999.0
102,10000.0
103,10001.5
104,10003.0
105,10001.0
106,9998.0
107,10001.5
108,10001.0
109,10000.0
110,9998.5
111,10001.5
112,9999.0
113,10000.0
114,10000.0
115,9999.0
116,9999.0
117,10000.0
118,9999.0
119,10000.0
120,10003.5
121,10000.0
122,10000.0
123,10001.0
124,10000.0
125,10000.0
126,10000.0
127,10000.0
128,10000.0
129,9999.0
130,10003.5
131,10000.0
132,10001.5
133,10000.0
134,10000.0
135,10000.0
136,9998.5
137,9997.0
138,10000.0
139,9998.0
140,10001.0
141,10000.0
142,10000.0
143,10000.0
144,10000.0
145,9998.5
146,9998.0
147,9998.5
148,9998.5
149,10002.5
150,10001.5
151,10000.0
152,10001.5
153,9998.5
154,9997.0
155,10003.0
156,10000.0
157,10003.0
158,10001.0
159,9998.0
160,9999.0
161,9997.5
162,9996.5
163,10000.0
164,9999.0
165,9999.0
166,10001.0
167,10003.5
168,10000.0
169,10000.0
170,10001.5
171,10000.0
172,10001.0
173,9999.0
174,10002.5
175,10000.0
176,10001.5
177,10000.0
178,9999.0
179,10000.0
180,10000.0
181,10000.0
182,10000.0
183,10000.0
184,10000.0
185,9997.5
186,10003.5
187,10000.0
188,10000.0
189,10001.5
190,10000.0
191,10000.0
192,9997.0
193,10000.0
194,10000.0
195,10000.0
196,10000.0
197,10003.0
198,10000.0
199,10000.0
200,9998.5
201,10003.0
202,9996.5
203,10000.0
204,9998.0
205,10002.0
206,10000.0
207,10003.5
208,10000.0
209,10000.0
210,10000.0
211,10000.0
212,9996.5
213,9999.0
214,10000.0
215,10000.0
216,10003.0
217,10001.0
218,10000.0
219,10003.0
220,10000.0
221,9999.0
222,10001.0
223,10000.0
224,9997.0
225,10000.0
226,10002.0
227,10000.0
228,9997.0
229,9999.0
230,10000.0
231,10001.5
232,10001.0
233,10000.0
234,10000.0
235,10001.0
236,10000.0
237,10003.0
238,10000.0
239,10000.0
240,10001.5
241,10000.0
242,9999.0
243,9999.0
244,10003.0
245,10003.0
246,9996.5
247,10000.0
248,10000.0
249,10003.0
250,10000.0
251,10003.5
252,9997.0
253,10000.0
254,10000.0
255,9997.0
256,9999.0
257,10000.0
258,10003.5
259,10000.0
260,10000.0
261,10001.5
262,10000.0
263,9997.0
264,10000.0
265,10000.0
266,9997.0
267,10001.0
268,10000.0
269,10003.5
270,9998.5
271,10000.0
272,10001.5
273,10000.0
274,10000.0
275,10000.0
276,10001.5
277,10000.0
278,10001.0
279,9999.0
280,10001.5
281,10000.0
282,9997.0
283,10000.0
284,10000.0
285,10001.5
286,10003.0
287,10000.0
288,10000.0
289,10001.0
290,10000.0
291,10000.0
292,10000.0
293,9999.0
294,10003.0
295,10000.0
296,10000.0
297,9999.0
298,10001.0
299,10000.0
300,10001.0
301,10000.0
302,10000.0
303,9999.0
304,10001.0
305,10001.0
306,9999.0
307,10000.0
308,10000.0
309,9999.0
310,10002.0
311,10000.0
312,9999.0
313,10000.0
314,9996.5
315,10000.0
316,10000.0
317,10000.0
318,10002.0
319,10001.5
320,10000.0
321,10000.0
322,10000.0
323,10000.0
324,10000.0
325,10001.0
326,10003.5
327,10000.0
328,10000.0
329,10000.0
330,10000.0
331,10000.0
332,9999.0
333,10000.0
334,9999.0
335,10000.0
336,10003.5
337,9999.0
338,10000.0
339,10000.0
340,10003.5
341,10000.0
342,10000.0
343,10003.0
344,10000.0
345,10000.0
346,10000.0
347,10001.5
348,10000.0
349,10000.0
350,10003.5
351,10003.0
352,9999.0
353,10001.0
354,10003.5
355,10000.0
356,10000.0
357,10000.0
358,10001.0
359,10000.0
360,9998.5
361,10003.0
362,9997.0
363,10000.0
364,10001.0
365,10000.0
366,10000.0
367,10000.0
368,10000.0
369,10000.0
370,10000.0
371,10000.0
372,10000.0
373,9997.0
374,10003.5
375,10000.0
376,9998.5
377,10000.0
378,10000.0
379,10000.0
380,10003.0
381,9999.0
382,10000.0
383,10001.5
384,9998.0
385,10003.5
386,10000.0
387,10000.0
388,9999.0
389,10000.0
390,9998.5
391,10001.0
392,10000.0
393,10000.0
394,10000.0
395,9996.5
396,10000.0
397,10000.0
398,10000.0
399,9999.0
400,10000.0
401,9999.0
402,10000.0
403,9996.5
404,10000.0
405,10003.0
406,10000.0
407,10001.0
408,10000.0
409,10001.0
410,9998.5
411,10000.0
412,10000.0
413,10001.0
414,9999.0
415,10001.0
416,10000.0
417,10002.5
418,10000.0
419,9997.0
420,10000.0
421,10001.0
422,10003.5
423,10000.0
424,10000.0
425,9998.5
426,10000.0
427,10000.0
428,10000.0
429,10000.0
430,10000.0
431,10000.0
432,10000.0
433,10000.0
434,10000.0
435,10001.5
436,9999.0
437,10000.0
438,10000.0
439,10003.0
440,10000.0
441,9996.5
442,10000.0
443,10000.0
444,10001.5
445,10000.0
446,10000.0
447,9998.5
448,9996.5
449,10000.0
450,10003.0
451,10000.0
452,10000.0
453,10000.0
454,9997.0
455,9998.0
456,9998.5
457,10000.0
458,10000.0
459,10000.0
460,10000.0
461,10001.0
462,10001.0
463,10000.0
464,10000.0
465,10002.0
466,10001.0
467,10000.0
