,CHOCOLATE
0,7889.0
1,7889.5
2,7890.5
3,7890.0
4,7890.0
5,7889.0
6,7889.0
7,7889.0
8,7890.0
9,7889.0
10,7891.0
11,7892.0
12,7892.5
13,7891.5
14,7889.5
15,7890.5
16,7892.5
17,7893.0
18,7892.5
19,7892.0
20,7891.5
21,7891.5
22,7890.0
23,7890.5
24,7892.0
25,7890.0
26,7887.5
27,7888.5
28,7889.5
29,7888.5
30,7889.0
31,7888.5
32,7888.5
33,7887.5
34,7888.5
35,7890.5
36,7889.0
37,7888.5
38,7888.5
39,7888.0
40,7887.5
41,7888.5
42,7887.0
43,7888.5
44,7888.0
45,7889.0
46,7889.0
47,7889.0
48,7889.0
49,7889.5
50,7887.5
51,7888.0
52,7889.5
53,7889.5
54,7891.5
55,7893.5
56,7894.0
57,7894.5
58,7893.5
59,7894.5
60,7895.5
61,7894.5
62,7894.0
63,7895.0
64,7896.5
65,7895.0
66,7894.5
67,7893.5
68,7894.0
69,7893.5
70,7895.0
71,7895.5
72,7895.0
73,7895.5
74,7895.5
75,7895.0
76,7895.0
77,7895.5
78,7894.5
79,7893.5
80,7894.0
81,7894.0
82,7894.5
83,7894.5
84,7895.0
85,7894.0
86,7893.5
87,7895.0
88,7895.5
89,7897.0
90,7896.5
91,7896.5
92,7896.5
93,7896.5
94,7895.5
95,7895.0
96,7897.5
97,7897.5
98,7896.0
99,7898.5
100,7898.5
101,7898.5
102,7899.5
103,7900.0
104,7899.5
105,7899.0
106,7898.5
107,7897.5
108,7897.0
109,7896.0
110,7896.5
111,7897.0
112,7897.0
113,7896.5
114,7897.0
115,7897.0
116,7898.5
117,7899.0
118,7898.5
119,7897.5
120,7897.0
121,7895.5
122,7895.0
123,7894.5
124,7896.5
125,7896.0
126,7897.0
127,7895.5
128,7895.5
129,7895.0
130,7894.5
131,7894.5
132,7896.5
133,7896.5
134,7896.0
135,7896.0
136,7895.5
137,7894.5
138,7895.5
139,7894.5
140,7895.0
141,7895.5
142,7895.0
143,7896.5
144,7894.5
145,7895.5
146,7894.5
147,7895.0
148,7896.5
149,7895.0
150,7894.0
151,7895.0
152,7895.0
153,7897.0
154,7897.5
155,7898.0
156,7898.5
157,7899.5
158,7897.5
159,7897.0
160,7897.5
161,7897.5
162,7895.5
163,7896.0
164,7894.5
165,7895.0
166,7894.0
167,7893.5
168,7893.0
169,7892.0
170,7891.5
171,7891.0
172,7890.5
173,7891.5
174,7891.5
175,7891.5
176,7889.5
177,7891.5
178,7891.5
179,7891.0
180,7891.5
181,7890.5
182,7892.5
183,7893.5
184,7893.0
185,7893.0
186,7893.5
187,7892.5
188,7895.0
189,7894.0
190,7894.5
191,7895.0
192,7895.5
193,7895.5
194,7894.5
195,7895.5
196,7894.5
197,7894.5
198,7895.0
199,7895.0
200,7894.5
201,7894.5
202,7894.0
203,7896.5
204,7897.0
205,7894.0
206,7893.0
207,7893.0
208,7893.0
209,7893.5
210,7892.5
211,7891.5
212,7890.5
213,7889.5
214,7888.5
215,7888.5
216,7886.5
217,7888.5
218,7888.0
219,7886.0
220,7886.5
221,7887.0
222,7886.0
223,7888.0
224,7888.5
225,7887.5
226,7885.5
227,7884.0
228,7884.5
229,7882.5
230,7882.5
231,7884.5
232,7883.0
233,7883.5
234,7884.5
235,7886.0
236,7886.0
237,7886.0
238,7885.5
239,7885.5
240,7886.0
241,7885.5
242,7886.5
243,7886.0
244,7885.5
245,7885.5
246,7886.0
247,7885.0
248,7884.5
249,7884.0
250,7883.5
251,7883.5
252,7884.5
253,7884.5
254,7884.5
255,7885.5
256,7883.0
257,7884.5
258,7886.0
259,7885.5
260,7887.0
261,7887.0
262,7886.5
263,7886.5
264,7885.5
265,7886.0
266,7886.0
267,7884.0
268,7883.5
269,7884.0
270,7885.5
271,7886.0
272,7888.0
273,7887.5
274,7888.0
275,7887.5
276,7886.5
277,7886.5
278,7885.5
279,7884.5
280,7886.5
281,7886.0
282,7886.5
283,7885.5
284,7888.0
285,7886.5
286,7886.5
287,7885.5
288,7885.5
289,7885.0
290,7885.0
291,7884.5
292,7883.5
293,7883.5
294,7885.5
295,7885.5
296,7886.5
297,7887.0
298,7887.5
299,7886.5
300,7887.0
301,7888.5
302,7890.5
303,7889.5
304,7891.5
305,7891.5
306,7891.0
307,7890.5
308,7890.5
309,7890.0
310,7889.0
311,7890.5
312,7891.0
313,7890.5
314,7891.0
315,7891.0
316,7889.5
317,7891.0
318,7890.0
319,7888.5
320,7888.5
321,7892.0
322,7892.5
323,7892.5
324,7892.5
